repository,issue_count,comment_count,unique_users,open_issues,first_issue,last_issue
cnxtech/penaltymodel,3,1,1,2,2022-05-01,2023-07-06
baidu/Quanlse,2,4,3,2,2022-08-15,2024-05-12
TeamGraphix/graphix,227,666,30,35,2022-12-14,2024-10-19
AbdullahKazi500/graphix,1,0,1,1,2024-06-05,2024-06-05
sarvex/qiskit-optimization,2,0,2,1,2023-06-05,2024-09-03
tonivanhala/qiskit-on-iqm,1,1,1,0,2024-03-21,2024-03-21
shraggy/qiskit_surface_codes-1,2,0,1,0,2020-07-01,2020-07-07
sakibguy/qiskit-sdk-py,5,0,1,0,2021-04-02,2021-09-04
QLemma/qleet,13,15,4,2,2021-09-19,2023-03-15
bicycle315/qiskit-metal,1,0,1,0,2021-07-12,2021-07-12
qwqmlf/qwgc,17,4,4,10,2020-01-01,2024-04-14
dakk/dqpu,11,1,2,4,2024-05-15,2024-06-08
senecameeks/Cirq,1,0,1,0,2024-03-22,2024-03-22
qiskit/qiskit-ignis,609,1089,103,49,2018-12-11,2022-06-07
bopardikarsoham/qiskit-experiments,1,0,1,0,2022-08-03,2022-08-03
polyquantique/thewalrus,5,1,4,1,2022-02-01,2022-09-06
sitedata/mahout,1,1,2,1,2021-10-05,2021-10-05
bgkyer/qiskit-finance,1,1,2,1,2024-03-20,2024-03-20
uJhin/iqm-client,1,0,1,1,2022-06-23,2022-06-23
jamestiotio/quilc,1,0,1,0,2023-12-02,2023-12-02
uJhin/openqasm,1,0,1,1,2022-05-04,2022-05-04
joseppinilla/minorminer,1,0,1,0,2019-06-14,2019-06-14
NileshArnaiya/qiskit-tutorials,1,0,1,1,2024-04-18,2024-04-18
fcas/lightwood,6,0,1,6,2024-05-24,2024-08-20
rogercolbeck/QI,2,1,3,0,2021-01-29,2021-07-16
kingjobi/laboneq,7,0,2,0,2023-09-26,2023-10-23
HQSquantumsimulations/qoqo,600,452,11,7,2021-02-04,2024-10-17
yintaophy/qubiter,2,0,1,0,2017-10-13,2017-11-03
zapatacomputing/z-quantum-qaoa,102,54,16,0,2020-04-30,2022-06-23
sanowl/cuda-quantum,4,11,1,1,2024-08-30,2024-10-17
lanl/pyQBTNs,1,0,1,0,2021-07-10,2021-07-10
qiskit-community/qiskit-braket-provider,189,419,66,7,2022-02-22,2024-08-14
nunofernandes-plight/staq,1,0,1,1,2021-02-20,2021-02-20
Amey-2002/GSoC_2022_QMLHEP,1,0,1,0,2022-08-09,2022-08-09
jeremiahdc23/scqubits_qps,1,0,1,0,2022-10-10,2022-10-10
vishalbelsare/lightwood,57,0,1,1,2021-04-04,2021-12-02
lanl-ansi/qc-applications,58,108,7,5,2024-02-20,2024-10-14
pdhoolia/qiskit,9,11,2,9,2024-10-23,2024-10-23
qiboteam/qibo,1494,4635,101,115,2020-02-18,2024-10-29
julien-bremont/Pulser,4,3,1,0,2021-04-30,2021-05-17
QuTech-Delft/QuIS,11,6,2,0,2024-03-13,2024-10-23
openqasm/oqpy,97,69,17,12,2022-09-20,2024-10-16
burgholzer/qiskit-nature,1,0,1,1,2024-09-03,2024-09-03
labist/Qcodes,436,409,2,24,2019-07-18,2024-10-29
jakelishman/qutip,2,7,2,0,2020-07-13,2020-07-29
tonybruguier/qutip,6,1,1,5,2022-03-12,2023-02-11
dbenoit1/z-quantum-core,2,0,1,0,2022-06-17,2022-06-22
jwallnoefer/requsim,35,1,2,0,2021-11-10,2024-05-29
oscoreio/lightwood,1,0,1,0,2022-10-13,2022-10-13
Manny27nyc/qiskit-terra,3,0,3,2,2022-01-07,2024-09-24
nulinspiratie/Qcodes,135,77,7,13,2017-03-06,2024-03-05
sandialabs/pyGSTi,503,813,64,81,2016-02-25,2024-10-25
softwareqinc/staq,76,130,18,5,2020-01-08,2024-09-06
indra-ipd/qiskit-terra,1,0,1,0,2021-05-27,2021-05-27
TRSasasusu/qcgpu,1,0,1,1,2020-01-11,2020-01-11
abradley5/QuantumKatas,7,0,1,0,2022-01-26,2022-04-14
abhishekagarwal2301/isl,79,78,3,6,2022-04-13,2023-03-06
dwierichs/pennylane,3,0,1,1,2021-08-16,2022-01-12
bettinaheim/cuda-quantum,25,10,4,2,2023-03-31,2024-08-26
Qaqarot/qaqarot,162,66,15,12,2018-08-29,2023-05-06
jenshnielsen/Qcodes,813,976,8,0,2017-01-09,2022-10-28
BrunoRosendo/qiskit-algorithms,1,0,1,0,2024-05-15,2024-05-15
Zombor00/tequila,4,0,1,1,2021-06-16,2021-08-12
BoxiLi/krotov,2,0,1,1,2024-05-23,2024-05-23
MerlinSmiles/Qcodes,2,2,2,0,2016-11-15,2016-11-15
anushkrishnav/mitiq,1,0,1,1,2021-04-22,2021-04-22
kyle-w-brown/quantum,6,2,1,3,2021-11-10,2023-07-05
daehiff/pauliopt,4,0,1,1,2023-05-31,2023-06-13
gnanduru1/torchquantum,1,0,1,0,2024-04-02,2024-04-02
ahanbm/flaky-test-exp,11,0,1,0,2024-03-07,2024-03-08
MIWdlB/QuantumIntro,2,0,1,0,2023-08-22,2023-08-22
mudit2812/pennylane,11,1,2,0,2022-06-03,2023-03-27
amachino/qubex,82,58,2,0,2023-11-16,2024-10-29
kjsatz/ReCirq,1,0,1,0,2022-04-07,2022-04-07
nunofernandes-plight/qiskit-tutorial,1,0,1,1,2021-02-20,2021-02-20
charles-wangkai/QuantumKatas,4,0,1,0,2020-06-09,2020-06-16
Cryoris/qiskit-aqua,3,0,1,0,2020-02-08,2020-03-18
LSHerzog/mqt-qsim-joint-cutting,1,0,1,1,2024-09-04,2024-09-04
mhucka/Cirq,1,0,1,0,2024-09-20,2024-09-20
ngnrsaa-docker/qflex,61,0,2,0,2019-11-05,2020-07-24
qBraid/amazon-braket-examples,1,0,1,0,2024-01-10,2024-01-10
YeweiYuan/QPanda-2,1,0,1,0,2021-05-27,2021-05-27
TerraSolstice/strawberryfields,1,0,1,1,2021-09-03,2021-09-03
basnijholt/Qcodes,404,379,1,25,2020-09-25,2023-03-07
mpharrigan/Cirq,10,2,2,8,2021-01-29,2021-02-12
RazinShaikh/pyzx,4,0,1,0,2023-08-13,2024-07-08
atulvarshneya/quantum-computing,2,0,1,0,2016-08-13,2016-08-22
gvvynplaine/pyquil,2,0,2,2,2020-05-25,2020-10-30
PacktPublishing/Financial-Modeling-using-Quantum-Computing,3,0,2,0,2023-03-17,2023-05-23
LNoorl/qiskit-terra,14,0,1,0,2021-01-05,2021-01-23
anushkrishnav/qutip,1,0,1,1,2024-05-31,2024-05-31
jamestiotio/mahout,2,0,2,1,2024-01-04,2024-01-04
harshitgarg22/QuantumKatas,1,0,1,0,2020-05-29,2020-05-29
OpenQuantumComputing/OpenQuantumComputing,22,6,5,0,2022-06-28,2023-08-24
qiboteam/qibochem,117,121,11,5,2022-04-06,2024-10-28
Aisuko/QuantumKatas,2,0,2,2,2020-11-19,2024-03-27
rigetti/quilc,923,1622,75,215,2019-01-07,2024-08-13
erik-ingwersen-ey/quantum,1,0,1,0,2024-07-24,2024-07-24
gamatos/qujax,2,0,1,0,2023-11-02,2023-11-04
uJhin/qiskit-aqua,1,0,1,1,2022-04-08,2022-04-08
qBraid/qbraid-qir,179,121,13,6,2023-11-27,2024-10-22
hihmouda/NYUAD-2022,1,0,1,1,2022-03-31,2022-03-31
